%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1563269758854082189,3285,1563269758850728034,/gps,0,1,50.9390898333,-1.47150533333,15.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269759032435886,3286,1563269759022216081,/gps,0,1,50.9390898333,-1.47152033333,15.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269759249912012,3287,1563269759247073888,/gps,0,1,50.9390896667,-1.4715355,15.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269759431905263,3288,1563269759429712057,/gps,0,1,50.9390895,-1.471551,15.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269759665488399,3289,1563269759613246917,/gps,0,1,50.9390895,-1.4715665,15.9,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269760033835410,3290,1563269760027364969,/gps,0,1,50.9390891667,-1.47159716667,15.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269760224053437,3291,1563269760216846942,/gps,0,1,50.939089,-1.47161266667,15.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269760462525740,3292,1563269760449295997,/gps,0,1,50.9390888333,-1.47162833333,15.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269760628085538,3293,1563269760623313903,/gps,0,1,50.9390886667,-1.471644,15.8,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269760825603123,3294,1563269760821124076,/gps,0,1,50.9390885,-1.47165966667,15.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269761047230661,3295,1563269761043258905,/gps,0,1,50.9390883333,-1.47167566667,15.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269761234956822,3296,1563269761232250928,/gps,0,1,50.9390883333,-1.4716915,15.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269761432946840,3297,1563269761426333904,/gps,0,1,50.9390881667,-1.47170733333,15.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269761648190053,3298,1563269761645525932,/gps,0,1,50.9390881667,-1.47172316667,15.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269761849540256,3299,1563269761835827112,/gps,0,1,50.9390883333,-1.47173916667,15.7,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269762025868152,3300,1563269762014008045,/gps,0,1,50.9390883333,-1.47175483333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269762263469319,3301,1563269762253273010,/gps,0,1,50.9390883333,-1.47177066667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269762435969366,3302,1563269762430707931,/gps,0,1,50.9390883333,-1.4717865,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269762652599317,3303,1563269762624213933,/gps,0,1,50.9390883333,-1.47180216667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269762856764053,3304,1563269762843430042,/gps,0,1,50.9390881667,-1.47181766667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269763027249435,3305,1563269763024671077,/gps,0,1,50.9390883333,-1.47183266667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269763219412044,3306,1563269763203442096,/gps,0,1,50.9390881667,-1.47184733333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269763506936539,3307,1563269763449001073,/gps,0,1,50.9390881667,-1.47186133333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269763636663499,3308,1563269763624279975,/gps,0,1,50.939088,-1.47187533333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269763828051552,3309,1563269763823849916,/gps,0,1,50.9390878333,-1.47188866667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269764068926437,3310,1563269764057981014,/gps,0,1,50.9390876667,-1.4719015,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269764237315648,3311,1563269764221632003,/gps,0,1,50.9390873333,-1.47191383333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269764397409490,3312,1563269764394694089,/gps,0,1,50.9390873333,-1.47192533333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269764577828413,3313,1563269764570283889,/gps,0,1,50.9390873333,-1.47193616667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269764747269982,3314,1563269764742629051,/gps,0,1,50.9390873333,-1.47194533333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269764991652225,3315,1563269764989310026,/gps,0,1,50.9390873333,-1.471953,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269765176163967,3316,1563269765170809030,/gps,0,1,50.9390875,-1.47195866667,15.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269765431716947,3317,1563269765414181947,/gps,0,1,50.9390875,-1.4719625,15.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269765594327455,3318,1563269765592593908,/gps,0,1,50.9390875,-1.4719655,15.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269765774439199,3319,1563269765766027927,/gps,0,1,50.9390876667,-1.4719675,15.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269765943145222,3320,1563269765941138982,/gps,0,1,50.9390876667,-1.47196933333,15.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269766196987644,3321,1563269766194021940,/gps,0,1,50.9390875,-1.4719705,15.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269766391814701,3322,1563269766389373064,/gps,0,1,50.9390876667,-1.47197116667,15.5,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269766558511467,3323,1563269766547538995,/gps,0,1,50.9390876667,-1.47197166667,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269766969406150,3324,1563269766961797952,/gps,0,1,50.9390876667,-1.4719715,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
1563269767306773490,3325,1563269767256015062,/gps,0,1,50.9390876667,-1.47197133333,15.6,0.5184,0.0,0.0,0.0,0.5184,0.0,0.0,0.0,2.0736,1
